a,ある
absonant,不協和音
absonous,異常な
absorb,吸収する
absorbable,吸収性の
absorbate,吸収する
absorbed,吸収された
absorbefacient,吸収効率の良い
absorbency,吸収性
absorbent,吸収性のある
absorber,吸収する
absorbing,吸収する
absorption,吸収
absorptivity,吸収性
absquatulate,潜伏する
abstain,棄権する
abstainer,棄権者
abstemious,禁欲的な
abstemiously,禁欲的に
abstemiousness,禁欲
abstention,棄権
absterge,遠慮する
abstergent,禁欲的な
abstersion,禁欲
abstersive,強引な
abstinence,禁欲
abstinent,禁欲
abstract,抽象的な
abstracted,抽象化された
abstractedly,抽象的に
abstractedness,抽象化
abstraction,抽象化
abstractionism,抽象主義
abstractionist,抽象主義者
abstractive,抽象的な
abstractly,抽象的に
abstractness,抽象性
abstractor,抽象化者
abstruse,難解な
abstrusely,難解に
absurd,不条理な
absurdity,不条理
absurdly,不条理に
absurdness,不条理
absurdum,不条理
abudefduf,アブデフドゥフ
abulia,アブリア
abulic,異常な
abuna,アブナ
abundance,豊富
abundant,豊富な
abundanti,豊富な
abundantly,豊富に
abuse,乱用
abused,虐待された
abuser,虐待者
abusive,虐待的な
abusively,虐待的に
abut,隣接する
abutilon,アブチロン
abutment,アバットメント
abuttal,隣接した
abutter,バター
abutting,隣接している
abuzz,騒がしい
abvolt,忌避する
abwatt,アブワット
aby,アビー
abysm,深淵
abysmal,ひどい
abyss,深淵
abyssal,深淵な
abyssinian,アビシニアン
ac,交流
acacia,アカシア
academia,学術界
academic,アカデミック
academical,学術的な
academically,学術的に
academician,学者
academicianship,学位
academist,学者
academy,学校
acadia,アカディア
acadian,アカディアン
acalypha,アカリファ
acanthaceae,キノコ科
acanthisitta,アカンティシッタ
acanthocephala,アカントセファラ
acanthocephalan,カントセファラン
acanthocereus,アカントセレウス
acanthocybium,アカントシビウム
acanthocyte,有棘細胞
acanthocytosis,有棘細胞症
acanthoid,棘突起
acantholysis,棘溶解症
acanthoma,表皮腫
acanthophis,アカントフィス
acanthopterygii,カンソプテリギ
acanthoscelides,アカントセリデス
acanthosis,表皮腫
acanthotic,表皮厚の
acanthuridae,アカンツリ科
acanthurus,アカントゥルス
acanthus,アカンサス
acapnic,無呼吸の
acapulco,アカプルコ
acardia,無心症
acariasis,ダニ症
acariatre,アカリアトル
acaricide,殺ダニ剤
acarid,ダニ
acaridae,ダニ科
acarina,ダニ
acarine,ダニ
acaritre,カリトル
acarophobia,高所恐怖症
acarpelous,無心性の
acarpous,無果性の
acarus,アカルス
acatalectic,無力症
acataphasia,失語症
acathexia,アカテキシア
acathexis,アカテシス
acaudate,認証する
acaulescent,青少年の
accedas,承認
accede,同意する
accelerando,アッチェレランド
accelerate,加速する
accelerated,加速された
accelerating,加速する
acceleration,加速度
accelerative,加速的な
accelerator,アクセル
accelerometer,加速度計
accension,即位
accent,アクセント
accented,アクセントのある
accentor,アクセント
accents,アクセント
accentual,アクセント的な
accentuate,強調する
accentuation,アクセント
accept,受け入れる
accepta,受け入れる
acceptability,受容性
acceptable,許容できる
acceptably,許容範囲内で
acceptance,受け入れ
acceptation,受け入れ
accepted,受け入れられました
accepting,受け入れる
acception,受け入れ
acceptive,受け入れやすい
acceptor,アクセプタ
access,アクセス
accessible,アクセス可能な
accession,加盟
accessional,追加の
accessorial,付属品
accessory,アクセサリー
acciaccatura,アッチャッカトゥーラ
accidence,事故
accident,事故
accidental,偶然の
accidentally,偶然
accidentalness,偶然性
accidents,事故
accipere,アクシペレ
accipient,受信者
accipiter,腹水
accipitres,腹水
accipitridae,腹水科
accipitriformes,腹水目
accipitrine,アシピトリン
acclaim,称賛
acclamate,称賛する
acclamation,拍手
acclimatization,順応
acclimatize,順応する
acclivitous,癖のある
acclivity,習性
acclivous,不快な
accloy,アクロイ
accolade,栄誉
accommodate,収容する
accommodating,親切な
accommodation,宿泊施設
accommodational,宿泊施設
accommodative,寛容な
accomodation,宿泊施設
accompanied,同行した
accompaniment,伴奏
accompanist,伴奏者
accompany,同行する
accompanying,付随の
accompli,共犯者
accomplice,共犯者
accomplish,成し遂げる
accomplishable,達成可能な
accomplished,達成した
accomplishment,達成
accomplishments,業績
accompts,従う
accord,アコード
accordance,一致する
accordant,一致する
accordian,アコーディオン
according,によると
accordingly,それに応じて
accordion,アコーディオン
accordionist,アコーディオン奏者
accost,費用
accouchement,和解
accoucheur,アキュシュアー
accoucheuse,アコースティック
account,アカウント
accountability,説明責任
accountable,責任ある
accountableness,責任
accountancy,会計
accountant,会計士
accountantship,会計士
accounter,会計係
accounting,会計
accounts,アカウント
accouple,カップル
accouplement,補足
accousente,音響
accouter,アカウント
accoutered,警戒した
accouterment,付属品
accouterments,装備品
accoy,アコイ
accra,アクラ
accredit,認定する
accreditation,認定
accredited,認定された
accretion,付着
accretionary,付加的な
accretive,増加的な
accrimination,有罪判決
accroach,侵入する
accrue,発生する
accrued,発生した
accrust,蓄積する
accubation,蓄積
accueil,アクイユ
accultural,文化的な
acculturation,文化変容
acculturational,文化変容的な
accumbent,側臥位
accumulate,蓄積する
accumulated,蓄積された
accumulation,累積
accumulative,累積的
accuracy,正確さ
accurate,正確な
accurately,正確に
accurse,呪う
accursed,呪われた
accusable,非難されるべき
accusation,告発
accusative,対格
accusatorial,告発的な
accusatory,非難的な
accuse,告発する
accused,被告人
accuser,告発者
accusing,非難する
accusingly,非難的に
accustom,慣れる
accustomary,慣れた
accustomed,慣れた
ace,エース
acebutolol,アセブトロール
aceite,アセサイト
aceldama,アセルダマ
acentric,中心性のない
acephalia,アセファリア
acephalous,無脳症
acequia,アセキア
acequiador,アセキアドール
acequiamadre,アセキアマドル
acer,エイサー
aceraceae,カセキ科
acerate,酢酸塩
aceration,加速
acerb,痛烈
acerbate,悪化させる
acerbic,辛辣な
acerbity,辛辣さ
acerola,アセロラ
acervate,鋭くする
acervatim,アセルヴァティム
acervation,急性化
acervulus,アセルブルス
acervus,アセルバス
acescent,昇天
acetabular,寛骨臼
acetabulum,寛骨臼
acetal,アセタール
acetaldehyde,アセトアルデヒド
acetamide,アセトアミド
acetaminophen,アセトアミノフェン
acetanilide,アセトアニリド
acetate,アセテート
acetic,酢酸
acetone,アセトン
acetonic,アセトン
acetophenetidin,アセトフェネチジン
acetose,酢酸
acetous,酢酸性の
acetyl,アセチル
acetylcholine,アセチルコリン
acetylene,アセチレン
acetylenic,アセチレン系
acetylic,アセチル系
achaean,アカイア人
achar,アチャール
acharn,アチャーン
acharne,アチャルネ
acharnement,失神
achates,痛む
ache,痛み
achene,痛み
achenial,無痛な
acheron,アケロン
acheronian,アケロニアン
acherontia,アケロンティア
acherontis,アケロンティス
acheta,アセタ
achievability,達成可能性
achievable,達成可能な
achieve,成し遂げる
achievement,成果
achiever,達成者
achillea,アキレア
achillean,アキレス
achilles,アキレス
achimenes,アキメネス
aching,痛む
achira,アチラ
achivi,アチビ
achlamydeous,悪名高い
achlorhydria,無塩酸症
achlorhydric,非塩素酸性
achoerodus,アコエロドゥス
acholia,アコリア
achomawi,アチョマウィ
achondrite,エイコンドライト
achondritic,軟骨無痛症
achondroplasia,軟骨無形成症
achondroplastic,軟骨無形成
achras,アクラス
achromatic,無彩色
achromatin,アクロマチン
achromatinic,無彩色の
achromatism,色消し
achromatize,無彩色化する
achromatous,無彩色の
achromia,無色症
achromic,無色の
achylia,アキリア
acicula,針葉樹
acicular,針状の
aciculate,針状の
acid,酸
acidemia,アシデミア
acidic,酸性の
acidification,酸性化
acidify,酸性化する
acidimetric,酸性度
acidimetry,酸度測定
acidity,酸度
acidophil,好酸球
acidophilic,好酸性の
acidosis,アシドーシス
acidotic,酸性の
acidulate,酸性化する
acidulated,酸っぱい
acidulous,酸味のある
acierta,アシエルタ
aciform,針状の
acinaform,アシナホルム
acinar,腺房
aciniform,腺房状
acinonyx,アシノニクス
acinos,アシノス
acinus,腺房
acipenser,アシペンサー
acipenseridae,アシペンセリ科
ackee,アッキー
acknowledge,認める
acknowledgeable,認められる
acknowledged,認められた
acknowledgement,了承
acknowledgment,了承
acme,アクメ
acne,ニキビ
acned,にきびのある
acneiform,ざ瘡状
acnidosporidia,アクニドスポリジウム
acocanthera,アコカンテラ
acold,寒い
acology,アコロジー
acolothyst,アコロシスト
acolyte,アコライト
acolyth,アコリス
acomia,アコミア
aconcagua,アコンカグア
aconite,トリカブト
aconitum,トリカブト
acoraceae,アコヤシ科
acorea,アコリア
acorn,ドングリ
acorus,アコルス
acousma,アコースマ
acoustic,音響
acoustically,音響的に
acoustician,音響技師
acoustics,音響
acquaint,知り合い
acquaintance,知り合い
acquainted,知り合い
acquaintenace,知り合い
acquaintend,知り合い
acquainting,知り合い
acquest,獲得する
acquiesce,黙認する
acquiescence,黙認
acquiescent,黙認する
acquirable,入手可能な
acquire,取得する
acquired,取得した
acquirement,取得
acquirements,取得物
acquirer,取得者
acquiring,取得する
acquirit,取得する
acquisition,取得
acquisitions,買収
acquisitive,買収的な
acquisitiveness,貪欲さ
acquit,無罪放免
acquitment,無罪放免
acquittal,免罪
acquittance,負債の返済
acquitted,無罪となった
acrasiomycetes,アクラシオミセテス
acre,エーカー
acreage,面積
acres,エーカー
acrid,刺激的な
acrididae,アクリダ科
acridity,えぐみ
acridotheres,アクリドゼース
acrilan,アクリル
acrimonious,辛辣な
acrimony,辛辣な
acris,アクリス
acritical,批判的な
acritude,鋭さ
acroama,アクロアマ
acroamatic,無機質な
acroamatical,無作為的な
acroamatics,アクロアマティクス
acroanesthesia,末端麻酔
acroatic,アクロアティックな
acrobat,アクロバット
acrobates,アクロバットをする
acrobatic,アクロバティックな
acrobatics,曲芸
acrocarp,先端果皮
acrocarpous,先端的な
acrocarpus,アクロカルパス
acrocentric,アクロセントリック
acrocephalus,アクロセファルス
acroclinium,アクロクリニウム
acrocomia,アクロコミア
acrocyanosis,先端チアノーゼ
acrodont,アクドント
acrogen,アクロゲン
acrogenic,先着性の
acromatic,アクロマティックな
acromegalic,先端巨大症
acromegaly,先端巨大症
acromicria,肩峰
acromion,肩峰
acromphalus,アクロムファルス
acromyotonia,肩筋緊張症
acronym,頭字語
acronymic,頭字語
acropetal,頂弁状
acrophobia,高所恐怖症
acrophobic,高所恐怖症
acropolis,アクロポリス
acropora,ミドリイシ
acrosome,先体
acrospire,アクロスパイア
across,横切って
acrostic,アクロスティック
acrostichum,アクロスティクム
acrylic,アクリル
act,活動
acta,アクタ
actable,行動可能な
actaea,アクタエア
acted,行動した
acti,アクティ
actias,アクティアス
actifed,作動した
actin,アクチン
actinal,アクチナル
acting,演技
actinia,マタタビ
actiniaria,マタタビ
actinic,化学線の
actinidia,マタタビ
actinidiaceae,マタタビ科
actiniopteris,放線虫
actinism,活動主義
actinium,アクチニウム
actinoid,アクチノイド
actinolite,アクチノライト
actinomeris,アクチノメリ
actinometer,日射計
actinometric,光量計
actinometry,光量計
actinomorphic,アクチノモーフィック
actinomyces,放線菌
actinomycetacaea,放線菌
actinomycetal,放線菌
actinomycetales,放線菌
actinomycete,放線菌
actinomycin,アクチノマイシン
actinomycosis,放線菌症
actinomycotic,放線菌性
actinomyxidia,放線菌
actinomyxidian,放線菌
actinopod,放線脚類
actinopoda,放線足動物
action,アクション
actionable,実用的な
actions,行動
actitis,活動性炎
actium,アクチウム
activated,アクティブ化された
activation,アクティベーション
activator,活性剤
active,アクティブ
actively,積極的に
activeness,活発さ
activism,活動主義
activist,活動家
activity,活動
actomyosin,アクトミオシン
actor,俳優
actress,女優
acts,行為
actu,実際
actual,実際の
actuality,現実
actualized,現実化した
actually,実は
actuarial,数理的な
actuary,保険数理士
actuateact,作動する
actuated,作動した
actuator,アクチュエータ
actum,アクトゥム
actus,アクタス
acu,アク
acuate,鋭い
acuity,視力
aculea,アクレア
aculeate,尖った
aculeated,成熟した
aculeus,アクレウス
acumen,洞察力
acuminate,鋭利な
acuminated,尖った
acumination,鋭敏さ
acun,尖った
acupressure,指圧
acupuncture,鍼
acute,急性
acutely,急に
acuteness,鋭さ
acyclic,非周期的な
acyclovir,アシクロビル
ad,広告
adactylia,アダクティリア
adactylism,アダクティリズム
adactylous,不覚
adad,お父さん
adaga,アダガ
adage,格言
adagio,アダージョ
adalia,アダリア
adam,アダム
adamance,頑固な
adamant,毅然とした
adamantean,堅固な
adamantine,アダマンタイン
adamantly,断固として
adams,アダムス
adansonia,アダンソニア
adapa,アダパ
adapid,アダピッド
adapt,適応する
adaptability,適応力
adaptable,順応性のある
adaptation,適応
adaptational,適応的な
adapted,適合しました
adapter,アダプタ
adaption,適応
adaptive,適応的な
adar,アダール
adaxial,向軸性
add,追加
addable,追加可能
addax,アダックス
adde,追加する
added,追加した
addend,追加する
addendum,補遺
adder,加算器
addere,追加します
addesse,住所
addict,中毒者
addicted,依存症
addiction,依存症
addictive,中毒性のある
adding,追加する
addison,アディソン
additament,追加
addition,追加
additional,追加
additionally,さらに
additive,添加剤
additum,追記
addle,アドル
addlebrained,低脳な
addled,混乱した
addlehead,アドルヘッド
addlepated,年寄りの
address,住所
addressable,アドレス指定可能な
addressed,対処された
addressee,宛先
addresses,住所
adduce,加える
adducent,付加物
adducing,追加する
adduction,内転
adductive,加圧的
adductor,内転筋
ade,アデ
adeem,認める
adel,アデル
adelaide,アデレード
adelges,アデルヘス
adelgid,アデルギド
adelgidae,アデルギダエ
adelie,アデリー
adelig,アデリグ
adelomorphous,異形の
ademption,償い
ademptum,免責
aden,アデン
adenanthera,アデナンテラ
adenine,アデニン
adenitis,腺炎
adenium,アデニウム
adenocarcinoma,腺癌
adenocarcinomatous,腺癌性
adenography,腺造造影
adenoid,アデノイド
adenoidal,アデノイド
adenoidectomy,アデノイド切除
adenoma,腺腫
adenomegaly,腺腫大症
adenopathy,リンパ節腫脹
adenosine,アデノシン
adenota,腺腫
adenovirus,アデノウイルス
adeo,アデオ
adeology,アデオロギー
adept,熟練した
adeptness,熟練度
adequacy,十分性
adequate,十分な
adequately,十分に
adespotic,専制的な
adhere,遵守する
adherence,遵守
adherent,固着した
adhering,付着している
adhesion,接着力
adhesive,接着剤
adhesiveness,粘着性
adhibenda,アディベンダ
adhibit,認める
adhibition,抑制
adhortation,勧め
adiabatic,断熱的
adiantaceae,アジアン科
adiantum,アジアンタム
adiaphanous,半透明の
adiathermancy,断熱性
adience,アディエンス
adient,住民
adieu,さよなら
adige,アディジェ
adipocere,脂肪族
adipose,脂肪
adiposity,肥満
adirondacks,アディロンダック
adit,追記
aditi,アディティ
aditya,アディティア
adj,形容詞
adjacency,隣接
adjacent,隣接
adjection,形容詞
adjectitious,形容詞的な
adjectival,形容詞
adjectivally,形容詞的に
adjective,形容詞
adjectively,形容詞的に
adjectives,形容詞
adjoin,隣接する
adjoining,隣接する
adjourn,休会する
adjournment,延期
adjuc,判断する
adjudge,裁く
adjudicate,裁く
adjudication,判決
adjudicative,裁定的な
adjudicator,裁定者
adjunct,付属品
adjunctive,補助的な
adjuration,裁定
adjuratory,裁定的な
adjure,裁く
adjust,調整する
adjustable,調整可能な
adjusted,調整された
adjuster,アジャスター
adjustive,調整的な
adjustment,調整
adjutage,裁定
adjutant,副官
adjuvant,アジュバント
adjuvat,アジュバト
adlumia,アドゥミア
admass,アドマス
admeasurement,測定
administer,管理する
administrable,管理可能な
administration,管理
administrative,管理的な
administratively,管理上
administrator,管理者
administrators,管理者
admirability,立派さ
admirable,立派な
admirably,見事に
admiral,提督
admiralty,海軍本部
admirari,アドミラリ
admiration,感嘆
admire,憧れ
admired,感心した
admirer,崇拝者
admiring,感心する
admiringly,感心するほど
admissable,許容できる
admissibility,許容性
admissible,許容できる
admission,入場料
admissive,容認的な
admit,認める
admittable,許容できる
admittance,アドミタンス
admitted,認めた
admitting,認める
admixture,混和剤
admlration,賞賛
admonish,戒める
admonished,戒めた
admonisher,忠告する人
admonition,訓戒
admonitive,戒め的な
admonitory,戒め
adnate,副官
adnexa,付属器
adnexal,付属器
adnoun,副名詞
ado,ああ
adobe,アドビ
adobo,アドボ
adolescence,思春期
adolescent,思春期の
adonic,アドニック
adonis,アドニス
adonize,賞賛する
adopt,採用する
adoptable,採用可能
adopted,採用された
adoption,可決
adoptive,養子縁組
adorability,愛らしさ
adorable,愛らしい
adorably,愛らしく
adoration,礼拝
adore,崇拝します
adored,崇拝された
adorer,崇拝者
adoring,崇拝する
adoringly,愛おしく
adorn,飾る
adorned,飾られた
adornment,装飾品
adown,ダウン
adrenal,副腎
adrenalectomy,副腎摘出術
adrenaline,アドレナリン
adrenarche,副腎皮質
adrenergic,アドレナリン作動性
adrenocortical,副腎皮質
adrenocorticotropic,副腎皮質刺激薬
adrenosterone,アドレノステロン
adrenotrophin,アドレノトロフィン
adriatic,アドリア海
adrift,漂流する
adroit,器用
adroitly,巧みに
adroitness,巧みさ
adrolepsy,アドロプシー
adscititious,不注意な
adscript,添え字
adscriptus,補足
adsorbable,吸着性の
adsorbate,吸着する
adsorbed,吸着された
adsorbent,吸着剤
adsorption,吸着
adulation,称賛
adulator,アジュレーター
adulatory,順応的な
adullam,アドラム
adult,アダルト
adulterant,混ぜ物
adulterate,混ぜ物をする
adulterated,混ぜ物された
adulterating,混ぜ物をする
adulteration,混ぜ物
adulterer,不倫者
adulteress,姦婦
adulterine,不倫者
adulterous,不倫
adulterously,不倫して
adultery,姦通
adulthood,成人期
adultism,大人主義
adultness,大人らしさ
adultress,成人女性
adumbrate,呆然とする
adumbration,感嘆
adumbrative,称賛的な
aduncated,聡明な
aduncity,肥満
aduncous,無能な
adust,ほこり
adustion,質問
adv,広告
advance,前進
advanced,高度な
advancement,アドバンス
advances,進歩する
advancing,前進
advantage,アドバンテージ
advantaged,有利な
advantageous,有利
advection,移流
advective,移流
advene,アドベン
advent,降臨
adventism,アドベンティズム
adventist,アドベンティスト
adventitial,外膜性の
adventitious,偶発的な
adventive,冒険的な
adventure,冒険
adventurer,冒険者
adventures,冒険
adventuress,冒険家
adventurism,冒険主義
adventuristic,冒険的な
adventurous,冒険好きな
adventurousness,冒険心
adverb,副詞
adverbial,副詞的な
adverbially,副詞的に
adverbs,副詞
adversaria,敵対者
adversary,敵対者
adversarys,敵対者
adversative,逆境的な
adverse,不利な
adversely,逆に
adversis,逆境
adversity,逆境
adversitys,逆境
adversum,敵対者
advert,広告
advertence,意
advertency,意
advertent,不注意な
advertise,宣伝する
advertised,宣伝した
advertisement,広告
advertiser,広告主
advertising,広告
advice,アドバイス
advisability,可否
advisable,お勧め
advise,アドバイスする
advised,アドバイスした
advisedly,アドバイス的に
advisee,顧問
advisemement,アドバイス
adviser,顧問
advisory,勧告
advocacy,擁護
advocate,提唱する
advocation,擁護
advoutress,擁護者
advoutry,宣伝
advowson,アドヴォウソン
adynamia,アディナミア
adynamic,ダイナミックな
adynamy,アダイナミー
adytum,アディトゥム
adz,アズ
adze,アゼ
adzooks,アドズック
aecial,アシアル
aeciospore,エクシオスポア
aecium,アセウム
aedes,ヤブカ
aedile,エーディール
aedipus,エディプス
aeequa,イークア
aegean,エーゲ
aegiceras,アエギセラス
aegilops,エギロプス
aegina,アイギナ島
aegis,イージス
aegospotami,アエゴスポタミ
aegri,エグリ
aegypiidae,ネッタイシマカ科
aegypius,エジピウス
aegyptopithecus,エジプトピテクス
aeneas,アエネアス
aeneid,アエネイス
aeneus,アエネウス
aeolian,エオリアン
aeolic,エオリック
aeolis,アエオリス
aeolotropic,好向性
aeolus,アイオロス
aeon,イオン
aeonium,アエオニウム
aepyceros,アエピセロス
aepyornidae,エピオルニ科
aepyorniformes,エピオルニ目
aequa,アクア
aequam,エクアム
aequat,アクアット
aequis,アエクイス
aequo,エクオ
aerated,エアレーションされた
aeration,エアレーション
aerator,エアレーター
aere,あれ
aerial,空中
aerialist,飛行士
aerially,空中で
aerides,アエリデス
aerie,空中
aeriferous,空中の
aerifiction,通気
aeriform,エアフォーム
aerobacter,エアロバクター
aerobe,好気性菌
aerobic,好気性の
aerobics,エアロビクス
aerobiosis,好気性
aerobiotic,好気性の
aerodontalgia,空気歯痛
aerodrome,飛行場
aerodynamic,空気力学的
aerodynamics,空気力学
aerography,航空写真
aerolite,エアロライト
aerological,風力学的な
aerology,風力学
aerolytic,エアロリティック
aeromancy,航空術
aeromechanic,航空力学
aeromechanics,航空力学
aeromedical,航空医療用
aeromedicine,航空医学
aerometer,風力計
aerometry,エアロメトリー
aeronatics,航空学
aeronaut,飛行士
aeronautic,航空用
aeronautical,航空用
aeronautics,航空学
aerophagia,エアロファジア
aerophilatelic,好気性の
aerophilately,好気的に
aeroplane,飛行機
aeroplanist,飛行機学者
aeroscope,航空鏡
aeroscopy,航空鏡検査
aerosol,エアロゾル
aerosolized,エアロゾル化された
aerospace,航空宇宙
aerosphere,大気圏
aerostat,エアロスタット
aerostatic,気力静圧
aerostatics,空気静力学
aerostation,エアロステーション
aertex,エアテックス
aes,えす
aeschylean,アイスキュリアン
aeschylus,アイスキュロス
aeschynanthus,アイスキナンサス
aesculapian,アスキュラピアン
aesculapius,アスクレピウス
aesculus,アエスクルス
aesir,アースィル
aesop,イソップ
aestas,アエスタ
aesthetic,美的
aesthetically,審美的に
aesthetics,美学
aestival,エステティバル
aetas,アエタス
aeterna,エテルナ
aeternum,永遠
aether,エーテル
aethionema,アエチオネマ
aethusa,アエトゥーサ
aetiology,病因学
aetobatus,アエトバトゥス
aevi,アエビ
afar,遠くに
afeard,恐れた
afebrile,発熱性の
affability,愛想の良さ
affable,愛想の良い
affably,愛想よく
affair,事件、出来事
affaire,不倫
affaires,事務
affairs,事務
affect,影響する
affectation,愛情
affected,影響を受ける
affectedly,影響を受けて
affectedness,影響を受けている
affectibility,感受性
affecting,影響
affectingly,影響を与える
affection,愛情
affectional,愛情深い
affectionate,愛情深い
affectionateness,愛情
affectioned,愛情深い
affections,愛情
affector,アフェクター
affects,影響を与える
affenpinscher,アッフェンピンシャー
afferent,求心性
affettuoso,アフェットオーソ
affiance,婚約者
affianced,婚約者
affiche,貼紙
afficher,添付者
affidation,宣誓
affidavit,宣誓供述書
affiliated,アフィリエイト
affiliation,所属
affinal,不倫
affined,結びついた
affinity,親和性
affirm,肯定する
affirmable,肯定できる
affirmance,肯定
affirmation,肯定
affirmative,肯定的
affirmatively,肯定的に
affirmativeness,肯定性
affix,接辞
affixal,接辞
affixation,貼付
affixed,貼られた
afflation,アフレーション
afflatus,霊感
afflict,苦しめる
afflicted,苦しんでいる
afflicting,苦しむ
affliction,苦しみ
afflictions,苦しみ
afflictive,苦痛な
affluence,豊かさ
affluent,裕福な
afflux,流入
affluxion,虐待
afford,余裕ある
afforestation,植林
affraid,怖い
